name,geoid,county,state,cases,c_avg,c_avg_100
"Carlisle, Kentucky",21039,Carlisle,Kentucky,0,1.14,24.01
"Martin, Minnesota",27091,Martin,Minnesota,0,4.71,23.95
"Montgomery, Pennsylvania",42091,Montgomery,Pennsylvania,0,198.29,23.86
"Stafford, Virginia",51179,Stafford,Virginia,0,36.43,23.83
"Mackinac, Michigan",26097,Mackinac,Michigan,0,2.57,23.81
"Gloucester, New Jersey",34015,Gloucester,New Jersey,63,69.43,23.81
"Clatsop, Oregon",41007,Clatsop,Oregon,0,9.57,23.8
"Greene, Virginia",51079,Greene,Virginia,0,4.71,23.79
"Benton, Minnesota",27009,Benton,Minnesota,0,9.71,23.76
"Salem city, Virginia",51775,Salem city,Virginia,0,6.0,23.71
"Jefferson, Texas",48245,Jefferson,Texas,4,59.57,23.68
"Logan, West Virginia",54045,Logan,West Virginia,0,7.57,23.65
"Yamhill, Oregon",41071,Yamhill,Oregon,0,25.29,23.61
"Cook, Minnesota",27031,Cook,Minnesota,0,1.29,23.53
"Luzerne, Pennsylvania",42079,Luzerne,Pennsylvania,0,74.57,23.49
"Hampton city, Virginia",51650,Hampton city,Virginia,0,31.57,23.47
"St. Louis, Minnesota",27137,St. Louis,Minnesota,0,46.71,23.47
"Hanover, Virginia",51085,Hanover,Virginia,0,25.29,23.46
"Lunenburg, Virginia",51111,Lunenburg,Virginia,0,2.86,23.43
"Jackson, Michigan",26075,Jackson,Michigan,0,37.0,23.34
"Gasconade, Missouri",29073,Gasconade,Missouri,0,3.43,23.31
"Adams, Wisconsin",55001,Adams,Wisconsin,0,4.71,23.31
"Mahnomen, Minnesota",27087,Mahnomen,Minnesota,0,1.29,23.26
"Mariposa, California",06043,Mariposa,California,0,4.0,23.25
"Napa, California",06055,Napa,California,0,32.0,23.23
"Grundy, Illinois",17063,Grundy,Illinois,0,11.86,23.22
"Rolette, North Dakota",38079,Rolette,North Dakota,0,3.29,23.18
"Johnson, Kentucky",21115,Johnson,Kentucky,0,5.14,23.18
"Dare, North Carolina",37055,Dare,North Carolina,0,8.57,23.16
"Kingsbury, South Dakota",46077,Kingsbury,South Dakota,0,1.14,23.14
"Orleans, Louisiana",22071,Orleans,Louisiana,0,90.29,23.14
"Teton, Wyoming",56039,Teton,Wyoming,0,5.43,23.14
"Mason, Washington",53045,Mason,Washington,0,15.43,23.11
"Pembina, North Dakota",38067,Pembina,North Dakota,0,1.57,23.11
"Monroe, Indiana",18105,Monroe,Indiana,0,34.29,23.1
"St. Lawrence, New York",36089,St. Lawrence,New York,31,24.86,23.07
"Los Angeles, California",06037,Los Angeles,California,0,2315.0,23.06
"Chisago, Minnesota",27025,Chisago,Minnesota,0,13.0,22.98
"Big Stone, Minnesota",27011,Big Stone,Minnesota,0,1.14,22.9
"Rio Grande, Colorado",08105,Rio Grande,Colorado,0,2.57,22.82
"Raleigh, West Virginia",54081,Raleigh,West Virginia,0,16.71,22.78
"Clark, Washington",53011,Clark,Washington,0,111.14,22.76
"Yadkin, North Carolina",37197,Yadkin,North Carolina,0,8.57,22.76
"Polk, Oregon",41053,Polk,Oregon,0,19.57,22.74
"Bollinger, Missouri",29017,Bollinger,Missouri,0,2.75,22.67
"Salem, New Jersey",34033,Salem,New Jersey,11,14.14,22.67
"Shiawassee, Michigan",26155,Shiawassee,Michigan,0,15.43,22.65
"Powhatan, Virginia",51145,Powhatan,Virginia,0,6.71,22.64
"Hamilton, New York",36041,Hamilton,New York,4,1.0,22.64
"Lane, Oregon",41039,Lane,Oregon,0,86.43,22.62
"Fleming, Kentucky",21069,Fleming,Kentucky,0,3.29,22.53
"Alamance, North Carolina",37001,Alamance,North Carolina,0,38.14,22.5
"Juneau, Wisconsin",55057,Juneau,Wisconsin,0,6.0,22.48
"Northumberland, Virginia",51133,Northumberland,Virginia,0,2.71,22.44
"Calhoun, Michigan",26025,Calhoun,Michigan,0,30.0,22.36
"Spokane, Washington",53063,Spokane,Washington,0,116.86,22.35
"Linn, Oregon",41043,Linn,Oregon,0,29.0,22.35
"Genesee, Michigan",26049,Genesee,Michigan,0,90.57,22.32
"Leelanau, Michigan",26089,Leelanau,Michigan,0,4.86,22.32
"Prince William, Virginia",51153,Prince William,Virginia,0,105.0,22.32
"Smyth, Virginia",51173,Smyth,Virginia,0,6.71,22.3
"Ogle, Illinois",17141,Ogle,Illinois,0,11.29,22.28
"Morrison, Minnesota",27097,Morrison,Minnesota,0,7.43,22.25
"Door, Wisconsin",55029,Door,Wisconsin,0,6.14,22.2
"Red Willow, Nebraska",31145,Red Willow,Nebraska,0,2.38,22.15
"Brooks, Texas",48047,Brooks,Texas,0,1.57,22.15
"Howard, Maryland",24027,Howard,Maryland,0,71.86,22.06
"Antrim, Michigan",26009,Antrim,Michigan,0,5.14,22.05
"Ford, Illinois",17053,Ford,Illinois,0,2.86,22.04
"Houghton, Michigan",26061,Houghton,Michigan,0,7.86,22.02
"Comanche, Texas",48093,Comanche,Texas,0,3.0,22.0
"Radford city, Virginia",51750,Radford city,Virginia,0,4.0,21.92
"Brown, Wisconsin",55009,Brown,Wisconsin,0,57.71,21.82
